"标题","地点","户型格局","面积","更多信息","关注人数","发布日期","价格(元每平方米)","总价(万元)"
"北大学城水映唐庄上叠别墅带露台满五年","水映唐庄 - 北大学城","4室2厅 "," 145.79平米"," | 南 北 | 简装 | 中楼层(共4层) | 塔楼","122人关注 "," 一年前发布",11798,172
"立体世界 满五年 楼层位置佳 随时看房 业主诚意出售","立体世界 - 黄河南路","2室1厅 "," 50.86平米"," | 南 | 简装 | 中楼层(共18层) | 板塔结合","0人关注 "," 10天以前发布",21628,110
"金悦府 精装三房，满五年唯一，楼层好，业主诚意出售","华启金悦府 - 郑州东站","3室2厅 "," 133.81平米"," | 南 | 精装 | 中楼层(共33层) | 板楼","0人关注 "," 10天以前发布",24289,325
"满五唯一 精装修 近地铁 小区楼 王大四房 宽阔视野","正商新蓝钻A区 - 幸福港湾","4室2厅 "," 153.91平米"," | 南 北 | 精装 | 高楼层(共26层) | 塔楼","0人关注 "," 8天以前发布",16764,258
"2013年，双气精装修，景观房70万急急急","恒升府第 - 北站","2室1厅 "," 59.14平米"," | 东 北 | 精装 | 高楼层(共23层) | 塔楼","1人关注 "," 7天以前发布",11837,70
"郑东新区 象湖 雅居乐五房 采光好 视野开阔 看房方便","雅居乐国际花园西苑 - 象湖","5室2厅 "," 145.98平米"," | 南 北 | 精装 | 高楼层(共26层) | 板楼","50人关注 "," 10个月以前发布",13564,198
"此房满五年，南北通，格局好，楼层视野舒适","山顶御鑫城 - 北站","4室2厅 "," 201.56平米"," | 南 | 毛坯 | 高楼层(共33层) | 板楼","5人关注 "," 一年前发布",13743,277
"近地铁，小三房朝南户型，70年产权，可拎包入住","金立方 - 南龙湖商圈","3室1厅 "," 77平米"," | 南 | 精装 | 高楼层(共15层) | 板楼","64人关注 "," 一年前发布",5650,43.5
"三环内 低容率 双气人车分流 品质社区 环境好绿化高","中海锦苑 - 省中医院","3室2厅 "," 88.46平米"," | 南 | 精装 | 中楼层(共27层) | 板塔结合","3人关注 "," 4个月以前发布",20349,180
"法式别墅户型好，地上三层地下一层有车位，有院子","新尚轩辕湖 - 新郑城区","4室2厅 "," 247.2平米"," | 南 北 | 毛坯 | 低楼层(共3层) | 暂无数据","0人关注 "," 3个月以前发布",12945,320
"政法委家属院 1楼 双气 73中","桐柏南路56号 - 儿童公园","4室2厅 "," 206.25平米"," | 南 | 简装 | 低楼层(共7层) | 板楼","11人关注 "," 5个月以前发布",9382,193.5
"绕城高速豫龙站 金地一级物业 郑州一中加持","金地格林小城 - 荥阳城区","3室2厅 "," 89.35平米"," | 西 | 精装 | 中楼层(共34层) | 板楼","0人关注 "," 1个月以前发布",8059,72
"地铁一号线，前边无遮挡三房，采光充足","谦祥万和城二期 - 高新新郑大","3室2厅 "," 88.45平米"," | 南 | 简装 | 低楼层(共34层) | 板楼","32人关注 "," 7个月以前发布",11171,98.8
"南北通透，精装修拎包入住，采光好视野佳，环境好","亚星盛世雅居 - 二七万达","3室2厅 "," 115.53平米"," | 南 北 | 精装 | 高楼层(共33层) | 板塔结合","19人关注 "," 7个月以前发布",16836,194.5
"大学路地铁7号线南北通透小三室精装现房","鑫苑鑫家东苑 - 万客来","3室2厅 "," 89.8平米"," | 南 北 | 精装 | 高楼层(共27层) | 板塔结合","52人关注 "," 5个月以前发布",10646,95.6
"一梯两户11层小高层，得房率高，一个房间不算房本面积","浩创梧桐郡 - 南龙湖商圈","3室2厅 "," 79.93平米"," | 南 | 精装 | 中楼层(共11层) | 板塔结合","4人关注 "," 3个月以前发布",9634,77
"房子户型好，楼层好，格局方正，诚心出售！","汇泉城一号院 - 常西湖","3室2厅 "," 88.4平米"," | 南 | 简装 | 中楼层(共34层) | 板塔结合","12人关注 "," 4个月以前发布",9503,84
"万达旁三房 小高层中间楼层 采光充足 诚心出售","海悦华庭 - 二七万达","3室2厅 "," 89.17平米"," | 南 | 精装 | 中楼层(共18层) | 板塔结合","17人关注 "," 9个月以前发布",13346,119
"诚 售 高新区管委会家属院洋房","锦绣苑 - 高新公园道","3室2厅 "," 138平米"," | 南 北 | 精装 | 低楼层(共7层) | 板塔结合","1人关注 "," 2个月以前发布",17827,246
"大学路地铁口，万科精装修，品质小区","万科大都会天悦苑 - 橄榄城","3室2厅 "," 88.74平米"," | 南 | 精装 | 高楼层(共34层) | 板塔结合","13人关注 "," 3个月以前发布",11044,98
"正商品质 南北通透 双气大三房 业主诚心出售","正商幸福港湾B区 - 幸福港湾","3室2厅 "," 122.21平米"," | 南 北 | 精装 | 低楼层(共34层) | 塔楼","173人关注 "," 一年前发布",9738,119
"关虎屯双气电梯大四房，交通便利，配套成熟，地段好","关虎屯小区 - 花园路","4室2厅 "," 160.63平米"," | 南 | 简装 | 低楼层(共14层) | 板塔结合","7人关注 "," 3个月以前发布",8094,130
"满五唯一、精装修拎包入住、采光户型好","橄榄城伍号院 - 橄榄城","3室1厅 "," 88.76平米"," | 东南 | 精装 | 低楼层(共26层) | 板塔结合","3人关注 "," 1个月以前发布",11830,105
"正弘，贾鲁河畔，边户，毛坯，总高11层，83%得房率","正弘澜庭叙A区 - 北大学城","3室1厅 "," 135平米"," | 南 北 | 毛坯 | 低楼层(共16层) | 板楼","3人关注 "," 1个月以前发布",15926,215
"位置好，楼层好，采光无忧，业主诚心出售","东方港湾 - 郑州东站","3室2厅 "," 104.84平米"," | 东 | 简装 | 高楼层(共26层) | 板楼","9人关注 "," 4个月以前发布",19077,200
"此房步梯低楼层，出行方便，四室两厅一卫，采光充足","祥和一街 - 新郑城区","4室2厅 "," 127.96平米"," | 南 北 | 简装 | 中楼层(共5层) | 板楼","0人关注 "," 1个月以前发布",3322,42.5
"多层洋房 带阳台+露台20多平， 满5年","怡丰森林湖南区 - 北大学城","3室2厅 "," 99.83平米"," | 南 | 毛坯 | 低楼层(共6层) | 板塔结合","33人关注 "," 一年前发布",9016,90
"电梯小洋房，满五无差额无贷采光视野好，有钥匙随时看","清华大溪地3号院 - 荥阳城区","3室2厅 "," 130.46平米"," | 东 南 西 | 精装 | 中楼层(共5层) | 暂无数据","20人关注 "," 6个月以前发布",6516,85
"单价9100，买现房，南北通透大三室","汇泉城一号院 - 常西湖","3室2厅 "," 124.27平米"," | 南 北 | 其他 | 高楼层(共34层) | 板楼","6人关注 "," 1个月以前发布",9094,113
"大学路地铁口，泰宏少有边户小三房，户型好视野好。","泰宏建业国际城11号院 - 万客来","3室2厅 "," 89.82平米"," | 南 北 | 精装 | 高楼层(共32层) | 板塔结合","6人关注 "," 3个月以前发布",11802,106
"三环内，双气双卫 2006年 带大露 台 产权清晰，急卖","思达大河春天B区 - 绿茵广场","3室2厅 "," 120.02平米"," | 南 | 简装 | 6层 | 板楼","8人关注 "," 2个月以前发布",11582,139
"纯洋房社区，精装，家电家具全，急卖，","玫瑰郡 - 南龙湖商圈","3室2厅 "," 137.76平米"," | 南 | 精装 | 中楼层(共11层) | 板塔结合","3人关注 "," 2个月以前发布",7622,105
"滨河帝城，双气小区，采光充足视野宽阔，配套设施齐全","滨河帝城 - 新郑城区","4室2厅 "," 153.58平米"," | 东 南 | 精装 | 中楼层(共6层) | 板楼","16人关注 "," 一年前发布",4428,68
"业主诚心出售 全明户型 看房方便 交通便利","锦艺国际华都博郡 - 热电厂","3室1厅 "," 88.2平米"," | 南 | 精装 | 中楼层(共33层) | 板塔结合","0人关注 "," 2个月以前发布",14173,125
"经二路丰产路 邮政单位家属院 中间楼层 带电梯","经二路北29号院 - 财富广场","3室2厅 "," 145.25平米"," | 南 北 | 精装 | 中楼层(共30层) | 塔楼","3人关注 "," 3个月以前发布",10878,158
"东区 黄河南路一号线地铁口 省府旁 板式楼 中间楼层","大地东方名都 - 黄河南路","3室2厅 "," 146.87平米"," | 南 北 | 精装 | 中楼层(共19层) | 板塔结合","10人关注 "," 3个月以前发布",19065,280
"南苑 中上好楼层 光线好 精装 三房 不临路 有车位","正弘·蓝堡湾Ⅱ - 文博广场","3室2厅 "," 125.5平米"," | 南 北 | 精装 | 高楼层(共32层) | 板塔结合","6人关注 "," 4个月以前发布",27889,350
"方圆经纬精装小三房 满五唯一 中间楼层 诚心出售","方圆经纬社区 - 王府井","3室2厅 "," 85.71平米"," | 南 北 | 精装 | 中楼层(共31层) | 板塔结合","64人关注 "," 一年前发布",15751,135
"158万118平双卫大三房人车分流 业主急卖 棉纺路无二","惠众西城一品 - 热电厂","3室2厅 "," 118.57平米"," | 东南 | 精装 | 高楼层(共33层) | 板塔结合","52人关注 "," 一年前发布",13326,158
"急售 满五唯一 中间楼层 精装修","祝福红城三期 - 高新梧桐","3室2厅 "," 88.64平米"," | 南 | 精装 | 中楼层(共34层) | 板塔结合","10人关注 "," 4个月以前发布",11508,102
"地铁口 正商大四房 147平173万 南北通透方正 满五年","正商城和园1号院 - 正商城","4室2厅 "," 147.47平米"," | 南 北 | 其他 | 低楼层(共33层) | 塔楼","53人关注 "," 一年前发布",11718,172.8
"永威品质，环境优美，户型合理，院内配有水系景观","永威枫香庭东院 - 蓝钻商圈","3室1厅 "," 87.49平米"," | 南 西南 | 精装 | 低楼层(共31层) | 板楼","1人关注 "," 1个月以前发布",14631,128
"全明户型，全天采光无遮挡，好楼层，近地铁，","绿都紫荆华庭雅园 - 橄榄城","3室2厅 "," 100.34平米"," | 东南 | 简装 | 中楼层(共22层) | 板楼","1人关注 "," 1个月以前发布",14302,143.5
"近地铁，楼层好，视野宽阔，位置佳，交通便利，","绿都紫荆华庭雅园 - 橄榄城","3室2厅 "," 99.1平米"," | 西南 | 精装 | 低楼层(共34层) | 板楼","1人关注 "," 2个月以前发布",14430,143
"南北通户型，全新毛坯，诚心出售，方便看房","汇泉城5号院 - 常西湖","3室2厅 "," 108.6平米"," | 南 北 | 毛坯 | 高楼层(共24层) | 板楼","18人关注 "," 6个月以前发布",9209,100
"东区 省府旁 黄河南路一号线地铁口一梯两户满五年","大地东方名都 - 黄河南路","3室2厅 "," 138.64平米"," | 南 北 | 精装 | 中楼层(共11层) | 板塔结合","11人关注 "," 5个月以前发布",18466,256
"368万包含家具家电，蓝堡湾二期中间楼层，","正弘·蓝堡湾Ⅱ - 文博广场","3室2厅 "," 141.55平米"," | 南 北 | 精装 | 高楼层(共32层) | 板楼","2人关注 "," 4个月以前发布",25998,368
"保利永威西溪花园，精装双气3房！","保利永威西溪花园 - 高新梧桐","3室2厅 "," 88.45平米"," | 南 北 | 精装 | 中楼层(共34层) | 板楼","8人关注 "," 3个月以前发布",15263,135
"大溪地十五号院，小两房，郑西一中，商隐路地铁口","清华大溪地十五号院 - 荥阳城区","2室2厅 "," 74.14平米"," | 南 | 毛坯 | 中楼层(共32层) | 板楼","1人关注 "," 6个月以前发布",6205,46
"此房满五不唯一，电梯双气，业主铺的是地暖，和..","锦绣佳园 - 荥阳城区","3室2厅 "," 124.58平米"," | 西 | 简装 | 低楼层(共11层) | 板塔结合","32人关注 "," 一年前发布",5057,63
"80多平私家大露台 南北通透四房 看房随时 诚心出售","美景天城 - 世纪欢乐园","4室1厅 "," 118.68平米"," | 南 北 | 精装 | 低楼层(共18层) | 板楼","39人关注 "," 4个月以前发布",12218,145
"清水苑发改委家属院，别墅区，电梯洋房，诚心出售。","清水苑 - 鸿园片区","4室2厅 "," 153平米"," | 南 北 | 毛坯 | 中楼层(共7层) | 板楼","148人关注 "," 一年前发布",14380,220
"洋房大三室，户型好。采光好，通风效果好公摊小","金地格林小城 - 荥阳城区","3室1厅 "," 113.34平米"," | 南 | 毛坯 | 中楼层(共7层) | 板楼","13人关注 "," 11个月以前发布",7853,89
"郑东新区 雅居乐花园80万装大五房 带车位 诚心出售","雅居乐国际花园西苑 - 象湖","5室2厅 "," 145.91平米"," | 南 北 | 精装 | 中楼层(共26层) | 板楼","5人关注 "," 1个月以前发布",16792,245
"高铁旁 精装三室 楼层好 位置好 税费正常 拎包入住","新里卢浮公馆二期 - 郑州东站","3室1厅 "," 92.07平米"," | 西 | 精装 | 低楼层(共34层) | 板楼","11人关注 "," 3个月以前发布",17596,162
"报业集团家属院 厅级领导楼 楼中 不临街","东瑞园 - 郑州东站","6室2厅 "," 274.38平米"," | 南 北 | 精装 | 高楼层(共18层) | 板塔结合","28人关注 "," 4个月以前发布",17494,480
"二七万达，配套成熟，诚心出售，装修保持好，拎包入住","省会高教生活南区 - 二七万达","3室2厅 "," 121.44平米"," | 南 | 精装 | 高楼层(共6层) | 板楼","27人关注 "," 8个月以前发布",10541,128
"大三房 户型方正 小区高低配低容积","永丰乐城 - 南龙湖商圈","3室2厅 "," 117.79平米"," | 南 北 | 毛坯 | 低楼层(共30层) | 板楼","11人关注 "," 一年前发布",7641,90
"金二环、人车分流、双气、地铁口、洋房新小区！","阳光城8号院 - 阳光城","4室2厅 "," 165.34平米"," | 南 北 | 毛坯 | 7层 | 板楼","0人关注 "," 1个月以前发布",21471,355
"经典小三房，双气地暖业主诚心出售看房方便","建业运河上院 - 邙山","3室2厅 "," 86.9平米"," | 南 北 | 毛坯 | 中楼层(共14层) | 板楼","0人关注 "," 2个月以前发布",10472,91
"北三环福彩路满五唯一多层2楼有20平米地下室一梯两户","人和花园 - 北站","4室2厅 "," 173.19平米"," | 南 北 | 简装 | 低楼层(共6层) | 板楼","52人关注 "," 一年前发布",11895,206
"中间楼栋，中间楼层，精装双气 ，通透户型，诚信出售","中海锦苑 - 省中医院","3室2厅 "," 88.52平米"," | 南 北 | 精装 | 中楼层(共27层) | 板楼","4人关注 "," 4个月以前发布",20335,180
"精装三房 满五唯一 诚心出售 出行方便","汇泉城一号院 - 常西湖","3室2厅 "," 87.22平米"," | 南 | 简装 | 高楼层(共34层) | 暂无数据","9人关注 "," 一年前发布",9746,85
"亚星江南小镇一楼带院 户型方正全明户型 150平大院子","亚星江南小镇 - 上街区","3室2厅 "," 112.8平米"," | 南 北 | 毛坯 | 低楼层(共24层) | 板塔结合","52人关注 "," 4个月以前发布",4947,55.8
"南北通四叶草户型，中间楼层，采光好","财信圣堤亚纳小区 - 黄河南路","3室1厅 "," 137.13平米"," | 南 北 | 毛坯 | 中楼层(共34层) | 板楼","4人关注 "," 1个月以前发布",18158,249
"北三环内，10年双气，电梯三房，朝南，精装，满五年","正弘春晓 - 绿茵广场","3室1厅 "," 96.86平米"," | 南 | 精装 | 33层 | 塔楼","1人关注 "," 1个月以前发布",11326,109.7
"曼哈顿经典三室，户型方正，一号线地铁口，满五唯一","曼哈顿 - 燕庄","3室2厅 "," 138平米"," | 南 | 简装 | 高楼层(共32层) | 板塔结合","39人关注 "," 3个月以前发布",12682,175
"原始户型，采光时间长，主卧室和客厅带有朝大阳台","银基王朝 - 燕庄","5室2厅 "," 220.57平米"," | 南 北 | 精装 | 高楼层(共29层) | 板塔结合","34人关注 "," 10个月以前发布",15868,350
"正商智慧城多层洋房一楼带前后院，带地下室","正商智慧城博园 - 橄榄城","3室2厅 "," 145.63平米"," | 南 北 | 毛坯 | 低楼层(共7层) | 板塔结合","12人关注 "," 一年前发布",14764,215
"朝南大三房，户型方正采光好，拎包入住房东心诚","恒大名都 - 科技市场","3室2厅 "," 140.1平米"," | 南 | 精装 | 32层 | 板楼","2人关注 "," 1个月以前发布",18273,256
"地铁口、精装带地暖、好楼层、纯边户，业主诚心出售","观澜郡 - 南龙湖商圈","4室2厅 "," 121.04平米"," | 南 北 | 精装 | 中楼层(共18层) | 板楼","6人关注 "," 一年前发布",7519,91
"万达双地铁2008年双气大三房不是顶楼 无抵押过户快","富华花苑 - 二七万达","3室2厅 "," 114.8平米"," | 南 | 简装 | 高楼层(共6层) | 板楼","80人关注 "," 6个月以前发布",8189,94
"紧 邻 东区 两梯两户双气大四房 业主诚心出售","非常国际 - 枣庄","4室2厅 "," 207.15平米"," | 南 北 | 简装 | 中楼层(共24层) | 板楼","4人关注 "," 6个月以前发布",16655,345
"地铁口，公园旁，配套齐全，通透边户，急","正弘中央公园林语苑 - 航空港商圈","3室1厅 "," 124.67平米"," | 南 北 | 毛坯 | 低楼层(共23层) | 板楼","5人关注 "," 8个月以前发布",7380,92
"惠济区第壹 地tie旁 奢华四室 人车分流 给车位！！","绿地璀璨天城 - 省体育中心","4室2厅 "," 140.68平米"," | 南 北 | 毛坯 | 低楼层(共34层) | 板楼","2人关注 "," 4个月以前发布",11942,168
"民航路地铁口 此房满五唯一 通透格局 视野开阔 采光足","名门世家 - 燕庄","3室2厅 "," 175.49平米"," | 南 | 精装 | 低楼层(共25层) | 板楼","13人关注 "," 一年前发布",15671,275
"文博西路25号院 标准一室一厅 无抵押","正弘数码公寓 - 文博广场","1室0厅 "," 40.6平米"," | 西 北 | 精装 | 低楼层(共32层) | 板塔结合","0人关注 "," 29天以前发布",19459,79
"北郡一期大三房 硬装花了28万 精装修 看房效果好","北郡一期 - 惠济万达","3室1厅 "," 113.81平米"," | 南 | 精装 | 中楼层(共18层) | 板塔结合","0人关注 "," 27天以前发布",14586,166
"金水湾二期 河景房 满二 业主诚心出售","锦艺金水湾观源苑 - 惠济万达","3室2厅 "," 86.44平米"," | 南 西 北 | 精装 | 中楼层(共34层) | 板塔结合","0人关注 "," 27天以前发布",16775,145
"此房源满五年，有空中大花园,业主诚心出售","曼哈顿 - 燕庄","3室2厅 "," 147.11平米"," | 南 | 精装 | 低楼层(共30层) | 板塔结合","2人关注 "," 29天以前发布",11896,175
"富田太阳城三期 1室1厅 北","富田太阳城三期 - 世纪欢乐园","1室1厅 "," 56.52平米"," | 北 | 简装 | 中楼层(共28层) | 塔楼","0人关注 "," 29天以前发布",7962,45
"复式6.5米挑空，带37平大露台，装修保养好","开元丽城 - 二七万达","5室2厅 "," 226.12平米"," | 南 | 精装 | 高楼层(共7层) | 板楼","27人关注 "," 5个月以前发布",7828,177
"复式带露台 精装修 满五年 诚心出售","东方明珠 - 燕庄","7室2厅 "," 218平米"," | 南 | 精装 | 高楼层(共6层) | 板楼","78人关注 "," 一年前发布",7753,169
"陇东新八栋，2号线地铁，满五唯一税费少，急售","陇东小区 - 商代遗址","2室1厅 "," 77.63平米"," | 南 | 简装 | 高楼层(共7层) | 板楼","1人关注 "," 8天以前发布",8760,68
"此房满五不唯一，户型格局很好，小区环境好","美景天城 - 世纪欢乐园","1室1厅 "," 36.69平米"," | 西 | 简装 | 高楼层(共30层) | 塔楼","0人关注 "," 9天以前发布",8586,31.5
"地铁口 新鑫花园 带阁楼 带露台 精装修满五唯一有电梯","新鑫花园(金水) - 燕庄","3室2厅 "," 114.63平米"," | 南 | 精装 | 高楼层(共7层) | 板塔结合","32人关注 "," 6个月以前发布",12650,145
"中装朝南一室一厅，税费嘎嘎清晰，中楼层随时笑等约谈","鑫苑世家 - 文博广场","1室1厅 "," 52.97平米"," | 南 | 精装 | 中楼层(共15层) | 塔楼","0人关注 "," 11天以前发布",24543,130
"电梯大两房无抵押 高层采光无遮挡，视野开阔","大观国际居住区北区 - 燕庄","2室1厅 "," 106.74平米"," | 南 北 | 精装 | 高楼层(共34层) | 板塔结合","0人关注 "," 28天以前发布",16208,173
"近紫荆山公园 中楼层两室 诚心出售 看房方便","司家庄西街2号院 - 紫荆山公园","2室1厅 "," 65.66平米"," | 南 | 简装 | 中楼层(共5层) | 板楼","0人关注 "," 10天以前发布",7768,51
"宏光双气，两梯四户双卫大三居，比样板间装修标准好！","宏光合园 - 恒大绿洲","3室2厅 "," 112.99平米"," | 南 | 精装 | 高楼层(共32层) | 板塔结合","4人关注 "," 8天以前发布",11948,135
"点：此房满五唯一，好楼层，户型方正，采光无遮挡","联创佳苑 - 橄榄城","2室1厅 "," 68.53平米"," | 南 北 | 简装 | 高楼层(共17层) | 板楼","1人关注 "," 10天以前发布",9485,65
"和昌湾景国际 朝南大两房 格局方正 业主诚心出售","和昌湾景国际 - 儿童公园","2室2厅 "," 81.58平米"," | 南 | 简装 | 中楼层(共34层) | 板塔结合","0人关注 "," 10天以前发布",12504,102
"拎包入住的千亩大盘好房，双气，精装修，都是品牌家装","正商智慧城博园 - 橄榄城","3室2厅 "," 89.79平米"," | 南 | 精装 | 中楼层(共30层) | 板塔结合","1人关注 "," 21天以前发布",9244,83
"满五唯一，无户口无抵押看房随时","北云鹤花园 - 北站","3室2厅 "," 148.35平米"," | 南 北 | 精装 | 中楼层(共7层) | 板楼","39人关注 "," 一年前发布",10449,155
"地铁航海广场站100米 南北通透三室 多层小区 中间楼层","正商金色港湾 - 蓝钻商圈","3室2厅 "," 138.31平米"," | 南 北 | 精装 | 低楼层(共6层) | 塔楼","60人关注 "," 一年前发布",8966,124
"省医旁 精装双气大3房，五层采光好，业主诚心卖。","东明路北189号 - 财富广场","3室2厅 "," 147平米"," | 南 | 精装 | 高楼层(共6层) | 板楼","10人关注 "," 7个月以前发布",8164,120
"地铁口精装修装修，装修花了一百万大四房。","天地湾晴苑 - 北大学城","4室2厅 "," 147.1平米"," | 南 北 | 精装 | 中楼层(共11层) | 板塔结合","2人关注 "," 1个月以前发布",16724,246
"裕华美欣 3室2厅 南 北","裕华美欣 - 省体育中心","3室2厅 "," 95.21平米"," | 南 北 | 精装 | 高楼层(共27层) | 板楼","22人关注 "," 10个月以前发布",8718,83
"荐漏房源，业主急售，一环边五号线地铁口，精装大三房","瑞隆城 - 沙口路","3室2厅 "," 112.67平米"," | 南 北 | 精装 | 中楼层(共30层) | 板楼","57人关注 "," 5个月以前发布",13757,155
"玉兰谷精装修三房 户型方正 视野开阔 诚心出售","正商玉兰谷达园 - 邙山","3室2厅 "," 115.36平米"," | 南 北 | 精装 | 高楼层(共18层) | 板塔结合","1人关注 "," 6个月以前发布",9709,112
"南北通透四房 门口入户花园20平方不在房本面积","绿洲花园1号院 - 五龙口","4室2厅 "," 157.38平米"," | 南 北 | 精装 | 11层 | 板塔结合","25人关注 "," 一年前发布",9976,157
"多层复式 带楼台 公摊小 近地铁","正商金色港湾 - 蓝钻商圈","4室2厅 "," 161.58平米"," | 南 | 简装 | 高楼层(共7层) | 板楼","70人关注 "," 8个月以前发布",7922,128
"此房满五唯一，房间布局合理，格局南北通透，中等装修","万达3号院 - 二七万达","3室1厅 "," 108.5平米"," | 南 北 | 简装 | 33层 | 板塔结合","3人关注 "," 3个月以前发布",15577,169
"全屋定制精装修没住过，看房方便产权清晰","朗悦公园道1号玺园 - 高新公园道","3室2厅 "," 88.62平米"," | 南 | 精装 | 中楼层(共34层) | 板塔结合","1人关注 "," 1个月以前发布",18394,163
"房子南北通透，业主诚心卖，价位合适","正商智慧城博园 - 橄榄城","3室2厅 "," 126.71平米"," | 南 北 | 毛坯 | 低楼层(共30层) | 板塔结合","30人关注 "," 一年前发布",7577,96
"家属院一楼可停车绿化高得房率高好房子","劳动厅家属院 - 未来大厦","3室2厅 "," 105.78平米"," | 南 | 简装 | 低楼层(共6层) | 板楼","25人关注 "," 一年前发布",14843,157
"位置好 单价低两房 配套好 交通便利","塔湾西街一号院 - 商代遗址","2室1厅 "," 80.93平米"," | 南 北 | 简装 | 中楼层(共5层) | 暂无数据","1人关注 "," 3个月以前发布",8156,66
"南北通透的 大三房 户型好 采光好","金科城壹号院 - 高新梧桐","3室2厅 "," 122.85平米"," | 西 北 南 | 毛坯 | 低楼层(共34层) | 塔楼","0人关注 "," 2个月以前发布",19374,238
